,number,value,datetime_start,datetime_complete,duration,params_batchsize,params_beta_1,params_beta_2,params_cnn_dropout_factor,params_cnn_kernel_size,params_dense_dropout_factor,params_epsilon,params_learning_rate,params_nb_cnn_input_kernel,params_nb_cnn_layers,params_nb_dense_layers,params_num_hidden0,params_num_hidden1,params_num_hidden2,params_num_hidden3,params_num_kernel0,params_num_kernel1,params_num_kernel2,params_num_kernel3,state
165,165,0.07611992955207825,2021-08-15 09:19:13.413842,2021-08-15 09:22:23.548712,0 days 00:03:10.134870,512,0.1403585487804403,1.0989581381491464,0.05459784115093043,3,0.16420656275826837,0.0002588733093933334,0.00015111876964346427,38.20367318208543,2,1,103.05085125223586,,,,31.183620269429316,51.0913179020912,,,COMPLETE
166,166,0.4281506836414337,2021-08-15 09:22:23.589575,2021-08-15 09:41:59.474727,0 days 00:19:35.885152,64,0.1847378412663284,0.9440983511508904,0.059972913025925424,3,0.17816587020788294,2.6737424784567725e-05,0.00017171114872201133,28.49202144791413,2,1,111.00336351425196,,,,28.831111197669486,47.89725346190893,,,COMPLETE
167,167,0.5370364785194397,2021-08-15 09:41:59.520769,2021-08-15 09:55:01.858611,0 days 00:13:02.337842,512,0.17034981347003517,0.8432094377151386,0.07643517926965282,3,0.20427170616806334,8.765293760498192e-05,0.00013669616487076657,34.299630944814226,2,1,124.9047123387868,,,,26.070646853571155,63.96587288974988,,,COMPLETE
168,168,0.07611992955207825,2021-08-15 09:55:01.904864,2021-08-15 09:58:03.464592,0 days 00:03:01.559728,512,0.16751476487303618,1.160472356101276,0.07815457529381807,3,0.21104343466832243,6.846593494104559e-05,0.0001418094035204349,34.210767258258436,2,1,127.14609096320274,,,,25.99632709221697,62.08627770143776,,,COMPLETE
169,169,0.07611992955207825,2021-08-15 09:58:03.526991,2021-08-15 10:00:55.626790,0 days 00:02:52.099799,512,0.18706988937045418,1.0250296644624464,0.06323233018617155,3,0.19246718547299718,0.00010129834434272,0.0001828713734986387,30.460940576856196,2,1,122.68401986671464,,,,31.01215220263494,54.89464131893522,,,COMPLETE
170,170,0.07611992955207825,2021-08-15 10:00:55.670036,2021-08-15 10:04:08.464526,0 days 00:03:12.794490,512,0.15997616911828907,1.2847320396053246,0.04576447101409291,3,0.20446935691665982,3.882606160988434e-05,0.00010388065632231109,39.606427757534355,2,1,126.3381155733298,,,,23.796639035608333,67.81399788917304,,,COMPLETE
171,171,0.07570759207010269,2021-08-15 10:04:08.501559,2021-08-15 10:07:12.083938,0 days 00:03:03.582379,512,0.1699856490344322,0.8361034852621613,0.07501495451403206,3,0.17468790786765964,0.00014518543579975104,0.031637211877388216,36.51952274567338,2,1,111.42283102896626,,,,27.609766115807215,48.35668461448803,,,COMPLETE
172,172,0.5387300252914429,2021-08-15 10:07:12.129979,2021-08-15 10:22:47.082294,0 days 00:15:34.952315,512,0.19176210309655312,0.9425211024687148,0.03937239252727802,3,0.2283372934978618,2.899602714137488e-05,0.0001523527325804803,25.17479274229439,2,1,103.59448777306105,,,,32.349710245513855,40.78834578803698,,,COMPLETE
173,173,0.5331782102584839,2021-08-15 10:22:47.135489,2021-08-15 10:37:11.864049,0 days 00:14:24.728560,512,0.17665227872191167,0.9510377117235073,0.056618705756734715,3,0.22659524141905454,2.8350449109415118e-05,0.00015784812233640846,25.639782739758157,2,1,105.15851454213312,,,,31.761177152533136,41.10798922174605,,,COMPLETE
174,174,0.5340912342071533,2021-08-15 10:37:11.918100,2021-08-15 10:48:50.778864,0 days 00:11:38.860764,512,0.17519041703021165,0.9383329098596621,0.042651829452658656,3,0.23266702713414647,7.614394193069812e-05,0.00015838485202915157,25.61346790789701,2,1,127.26732169628212,,,,32.27190325643816,41.99355502905308,,,COMPLETE
175,175,0.5232674479484558,2021-08-15 10:48:50.821905,2021-08-15 11:01:32.186676,0 days 00:12:41.364771,512,0.17494924187578068,0.9314757850826099,0.039173628070881775,3,0.23087771356956333,7.94618332823188e-05,0.00015823468239046286,27.05867915377636,2,1,119.5790224907076,,,,31.75738131260604,39.09932880201191,,,COMPLETE
176,176,0.5358142256736755,2021-08-15 11:01:32.231424,2021-08-15 11:13:41.937537,0 days 00:12:09.706113,512,0.15839236213307573,0.8491343240407144,0.05906702862102058,3,0.21580667989891691,2.9786862898176438e-05,0.00016993746540896521,23.075063641938335,2,1,126.3368759501662,,,,32.932354545083456,54.47332605026203,,,COMPLETE
177,177,0.5276116728782654,2021-08-15 11:13:41.999594,2021-08-15 11:27:16.446950,0 days 00:13:34.447356,512,0.1529762139759094,0.8485374427770296,0.05535244803569776,3,0.2161427445813136,2.7618456660805764e-05,0.00014579447968929212,22.693862450686318,2,1,125.34576260725456,,,,32.93662095148658,41.469261527183505,,,COMPLETE
178,178,0.5312491059303284,2021-08-15 11:27:16.488987,2021-08-15 11:43:02.542375,0 days 00:15:46.053388,512,0.1439593221957006,0.8505291883917447,0.05547891950173753,3,0.23272779389189568,2.6097420745053226e-05,0.0001468261175311842,23.160990630248843,2,1,127.02767278688029,,,,33.55601009014658,41.267150214709645,,,COMPLETE
